LCCS,artificial,sol_nu_tot,bois_total,agricol_to,espace_ouv,eau_perman,layer,path
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"135",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"135",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"150",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"150",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"110",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"70",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"190",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"100",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"195",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"130",4.552,9.534,37.477,26.221,17.696,0.000,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/1buffer250alexnew/Aérodrome_de_Maubray.shp
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"195",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"190",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"100",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"195",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"30",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"120",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"30",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"10",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"195",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"120",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"120",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"210",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"120",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"210",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"60",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"130",1.513,2.044,45.411,30.818,16.412,3.790,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer500alex/Aérodrome_de_Maubray.dbf|layername=Aérodrome_de_Maubray
"30",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"40",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"10",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"210",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"40",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"10",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"195",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"195",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"195",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"190",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"100",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"30",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"30",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"195",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"210",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"130",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
"60",2.328,0.884,48.713,28.657,7.953,11.464,Aérodrome_de_Maubray,C:/Users/lalie/Desktop/layer site mémoire/buffer1000alex/Aérodrome_de_Maubray.shp
